CD_UF;NM_UF;CD_MUNIC;NM_MUNIC;ID_LI;CD_LI;OCORRENCIA;NM_LI;CD_SETOR;SITUACAO;CD_SIT;CD_TIPO;CD_AGLOM;NM_AGLOM;CD_TI;TI_FUNAI;NM_TI;FASE;C_CR_FUNAI;N_CR_FUNAI;ALD_FUNAI;VAL_FUNAI;ALD_SIASI;VAL_SIASI;AMZ_LEG;LAT;LONG
26;Pernambuco;2610905;Pesqueira;2600022;2610172;1;Aldeia Indígena Passagem;261090510000005;Rural;5;5;261090500025;Aldeia Indígena Passagem;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3363;2;49793;1;;-8.265790222234925;-36.73860936111111
26;Pernambuco;2603009;Cabrobó;2600023;2610112;1;Aldeia Indígena Ilha da Assunção;260300905000047;Rural;5;5;260300900023;Aldeia Indígena Jatobazeiro;50751;46602;Truká;Declarada;30202001983;Baixo São Francisco;3887;2;47651;1;;-8.520041472235318;-39.31680897222222
26;Pernambuco;2610905;Pesqueira;2600024;2610030;1;Aldeia Indígena Lagoa;261090510000017;Rural;5;5;261090500033;Aldeia Indígena Lagoa;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3332;2;50623;1;;-8.338883;-36.74017879500751
26;Pernambuco;2606606;Ibimirim;2600025;2610150;1;Aldeia Indígena do Nazário;260660605000033;Rural;5;5;260660600018;Aldeia Indígena do Nazário;6335;20201;Kambiwá;Regularizada;30202001969;Nordeste I;3374;2;49194;1;;-8.63485811112439;-37.806144
26;Pernambuco;2603009;Cabrobó;2600028;2610112;2;Aldeia Indígena Ilha da Assunção;260300905000020;Rural;5;5;260300900007;Aldeia Indígena Sede;50111;46601;Truká;Regularizada;30202001983;Baixo São Francisco;3887;2;47651;1;;-8.516122944457534;-39.42468805555556
26;Pernambuco;2610905;Pesqueira;2600029;2610020;1;Aldeia Indígena Sao José;261090505000048;Rural;5;5;261090500012;Aldeia Indígena Sao Jose;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;3027;1;51587;1;;-8.332612972235026;-36.71648625
26;Pernambuco;2608057;Jatobá;2600031;2610368;1;Aldeia Indígena Brejo dos Padres;260805705000027;Rural;5;5;260805700003;Aldeia Indígena Saco dos Barros;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;3239;2;;;;-9.128995194458495;-38.20342794444444
26;Pernambuco;2611002;Petrolândia;2600032;2610345;1;Aldeia Indígena Lagoinha;261100205000046;Rural;5;5;261100200021;Aldeia Indígena Lagoinha;50107;11301;Entre Serras;Regularizada;30202001983;Baixo São Francisco;3121;1;50482;1;;-9.092861388902884;-38.2410485
26;Pernambuco;2610905;Pesqueira;2600034;2610225;1;Aldeia Indígena Pé de Serra do Nogueira;261090505000058;Rural;5;5;261090500019;Aldeia Indígena Pé de Serra do Nogueira;6319;50801;Xukuru;Regularizada;30202001969;Nordeste I;;;51388;1;;-8.275716583346046;-36.690349166666664
26;Pernambuco;2614808;Tacaratu;2600035;2610117;3;Aldeia Indígena Brejo dos Padres;261480805000069;Rural;5;5;261480800042;Aldeia Indígena Brejo dos Padres 2;7102;32401;Pankararu;Regularizada;30202001983;Baixo São Francisco;;;47608;1;;-9.130145138902941;-38.19721458333334
